Año;Mes;Organismo;Evento;Entradas
2023;enero;Circo Price;CIRCO PRICE EN NAVIDAD;59
2023;febrero;Circo Price;GALA INTERNACIONAL DE MAGIA EN ESCENA;247
2023;febrero;Circo Price;MAGIA DE CERCA;43
2023;marzo;Circo Price;EL VENTRÍLOCUO;34
2023;marzo;Circo Price;GALA INTERNACIONAL DE MAGIA EN ESCENA;233
2023;marzo;Circo Price;LA REINA DEL ARGA;11
2023;marzo;Circo Price;MELODÍAS PROHIBIDAS;46
2023;abril;Circo Price;MASA MADRE;26
2023;abril;Circo Price;PETER Y WENDY RUMBO A NUNCA JAMÁS;164
2023;mayo;Circo Price;HUMANIDAD;91
2023;junio;Circo Price;ENARMONIA;11
2023;junio;Circo Price;UBUNTU Y ACCIÓN!!!;14
2023;enero;Naves del Español en Matadero;Amistad;7
2023;enero;Naves del Español en Matadero;El pozo de los mil demonios;47
2023;enero;Naves del Español en Matadero;La Florida;329
2023;enero;Naves del Español en Matadero;La sumisión y el porvenir está en los huevos;127
2023;febrero;Naves del Español en Matadero;Amistad;400
2023;febrero;Naves del Español en Matadero;Gloria Albalate;16
2023;febrero;Naves del Español en Matadero;Julia Rubio;12
2023;febrero;Naves del Español en Matadero;Los nadadores diurnos (Salón de belleza);429
2023;febrero;Naves del Español en Matadero;Maria Pascual;23
2023;febrero;Naves del Español en Matadero;Silvia Marsó en 'Blues & Roots' con Del Toro Blues Band;20
2023;marzo;Naves del Español en Matadero;Amistad;59
2023;marzo;Naves del Español en Matadero;Coronada y el toro;170
2023;marzo;Naves del Español en Matadero;Itziar Castro;45
2023;marzo;Naves del Español en Matadero;Livianas Provincianas;7
2023;marzo;Naves del Español en Matadero;Los nadadores diurnos (Salón de belleza);125
2023;marzo;Naves del Español en Matadero;Uz: el pueblo;367
2023;abril;Naves del Español en Matadero;Coronada y el toro;135
2023;abril;Naves del Español en Matadero;El público;234
2023;abril;Naves del Español en Matadero;Livianas Provincianas;86
2023;abril;Naves del Español en Matadero;Uz: el pueblo;295
2023;mayo;Naves del Español en Matadero;El público;283
2023;mayo;Naves del Español en Matadero;Europa;190
2023;mayo;Naves del Español en Matadero;Gran final. VII Torneo de Dramaturgia;59
2023;mayo;Naves del Español en Matadero;Los santos inocentes;318
2023;mayo;Naves del Español en Matadero;Uz: el pueblo;68
2023;mayo;Naves del Español en Matadero;Vacío;2
2023;junio;Naves del Español en Matadero;Continente María;51
2023;junio;Naves del Español en Matadero;Eclipse;44
2023;junio;Naves del Español en Matadero;Europa;95
2023;junio;Naves del Español en Matadero;Flores y viajes;14
2023;junio;Naves del Español en Matadero;Fráxil. Handle with care;13
2023;junio;Naves del Español en Matadero;Los santos inocentes;10
2023;enero;Teatro Español;Espectros;101
2023;enero;Teatro Español;La importancia de llamarse Ernesto;548
2023;enero;Teatro Español;París 1940;64
2023;enero;Teatro Español;Sobre la vida de los animales;127
2023;febrero;Teatro Español;Espectros;353
2023;febrero;Teatro Español;La importancia de llamarse Ernesto;302
2023;marzo;Teatro Español;Don Ramón María del Valle-Inclán;453
2023;marzo;Teatro Español;Espectros;45
2023;marzo;Teatro Español;La habitación blanca;373
2023;abril;Teatro Español;Don Ramón María del Valle-Inclán;53
2023;abril;Teatro Español;La carne;100
2023;abril;Teatro Español;La habitación blanca;13
2023;abril;Teatro Español;Maryvonne;45
2023;abril;Teatro Español;Primer combate cuartos de final. VII Torneo de Dramaturgia;29
