Año;Mes;Organismo;Evento;Entradas
2020;Enero;Cineteca;An elephant sitting still;54
2020;Enero;Cineteca;Another year;30
2020;Enero;Cineteca;Ask Dr. Ruth;58
2020;Enero;Cineteca;Blow-up (Deseo de una mañana de verano);60
2020;Enero;Cineteca;Caché (Escondido);60
2020;Enero;Cineteca;De la fotografía al fotograma Street scene;30
2020;Enero;Cineteca;Derechos del hombre;32
2020;Enero;Cineteca;El coheredero / El complejo de dinero;10
2020;Enero;Cineteca;El fotógrafo del pánico;30
2020;Enero;Cineteca;El Paraíso;14
2020;Enero;Cineteca;Ema;54
2020;Enero;Cineteca;Foco Shenge Zhu & Zhengfan Yang;17
2020;Enero;Cineteca;Il se peut que la beauté ait renforcé notre résolution;16
2020;Enero;Cineteca;Juan Rodrigáñez. La troupe de lo imprevisto;9
2020;Enero;Cineteca;Judy;54
2020;Enero;Cineteca;La conversación;30
2020;Enero;Cineteca;La muerte en directo;56
2020;Enero;Cineteca;La ventana indiscreta;54
2020;Enero;Cineteca;Los testigos de Putin;54
2020;Enero;Cineteca;M;54
2020;Enero;Cineteca;Made in China;26
2020;Enero;Cineteca;Manu Luksch;14
2020;Enero;Cineteca;Out of focus;25
2020;Enero;Cineteca;Portrait D'une paresseuse /Lunch break /The role of a lifeti;24
2020;Enero;Cineteca;Present. Perfect;24
2020;Enero;Cineteca;Primeras soledades;37
2020;Enero;Cineteca;Reminiscences of a journey to Lithuania/Makeshift (For Mekas;55
2020;Enero;Cineteca;Russia from my window;47
2020;Enero;Cineteca;Sexo, mentiras y cintas de vídeo;60
2020;Enero;Cineteca;Spectres;14
2020;Enero;Cineteca;Teorema Zero;24
2020;Enero;Cineteca;The image you missed;42
2020;Enero;Cineteca;Viajando;30
2020;Enero;Cineteca;Wanda;20
2020;Enero;Cineteca;Where are you going;22
2020;Febrero;Cineteca;<3;54
2020;Febrero;Cineteca;Arima;48
2020;Febrero;Cineteca;Asako I & II;30
2020;Febrero;Cineteca;Banda Aparte;42
2020;Febrero;Cineteca;Cavernícola;15
2020;Febrero;Cineteca;Chris el suizo;44
2020;Febrero;Cineteca;Creature comforts. Shaun the sheep. Morph;16
2020;Febrero;Cineteca;Crónica de un verano/Les veuves de Quinze ans/Los que desean;30
2020;Febrero;Cineteca;Dear etranger;14
2020;Febrero;Cineteca;Demasiado pantalla friend: Ponme un kilo de eso;19
2020;Febrero;Cineteca;Drowning love;30
2020;Febrero;Cineteca;Early Shorts (Los años 80);7
2020;Febrero;Cineteca;El viaje de Takara;38
2020;Febrero;Cineteca;Embriagado de amor;30
2020;Febrero;Cineteca;En corto... Es más íntimo;46
2020;Febrero;Cineteca;Encuesta sobre el amor;21
2020;Febrero;Cineteca;Her love boils bathwater;52
2020;Febrero;Cineteca;La asfixia;66
2020;Febrero;Cineteca;La femme de mon frère;14
2020;Febrero;Cineteca;La guerra de los Rose;21
2020;Febrero;Cineteca;La loba parda;8
2020;Febrero;Cineteca;Les proies;25
2020;Febrero;Cineteca;Los asesinos de la luna de miel;25
2020;Febrero;Cineteca;Los puentes de Madison;51
2020;Febrero;Cineteca;Masterclass con Peter Lord;54
2020;Febrero;Cineteca;Monos;29
2020;Febrero;Cineteca;My nudity means nothing;51
2020;Febrero;Cineteca;No sex last night;58
2020;Febrero;Cineteca;Paso al límite;14
2020;Febrero;Cineteca;Respirar correr mirar + Mursego;13
2020;Febrero;Cineteca;Shorts (1990/2015);22
2020;Febrero;Cineteca;Slapstick & Iconoclastas;30
2020;Febrero;Cineteca;Soy un cyborg;18
2020;Febrero;Cineteca;The Tokio night sky is always the densest shade of blue;52
2020;Febrero;Cineteca;Three stories of love;14
2020;Febrero;Cineteca;Une colonie;14
2020;Febrero;Cineteca;Wallace & Gromit;55
2020;Febrero;Cineteca;Y llovieron pájaros;16
2020;Febrero;Cineteca;Yo maté a mi madre;49
2020;Marzo;Cineteca;Amanece que no es poco;30
2020;Marzo;Cineteca;Antología de un pueblo fantasma;42
2020;Marzo;Cineteca;Cachada;0
2020;Marzo;Cineteca;Carcasses;11
2020;Marzo;Cineteca;Curling;0
2020;Marzo;Cineteca;Don't cry pretty girls;0
2020;Marzo;Cineteca;La flor  (3ª parte);0
2020;Marzo;Cineteca;La flor (1ª Parte);0
2020;Marzo;Cineteca;La flor (2ª Parte);0
2020;Marzo;Cineteca;La lengua de las mariposas;53
2020;Marzo;Cineteca;Les ètats nordiques;14
2020;Marzo;Cineteca;Pares y Nones;28
2020;Abril;Cineteca;Sin eventos;
2020;Mayo;Cineteca;Sin eventos;
2020;Junio;Cineteca;Sin eventos;
2020;Enero;Conde Duque;Dureé d'exposition (Tiempo de exposición);103
2020;Enero;Conde Duque;Poesía o Barbarie;56
2020;Enero;Conde Duque;SCD Carla dal Forno;83
2020;Enero;Conde Duque;SCD Pere Ubu;83
2020;Enero;Conde Duque;SCD Sam Amidon;83
2020;Febrero;Conde Duque;DU20 - Javier Cansado y Ernesto Rodríguez Abad;110
2020;Febrero;Conde Duque;DU20 - Joaquín Reyes y Jaime Vallaure;126
2020;Febrero;Conde Duque;DU20 - Quequé y Grumelot;112
2020;Febrero;Conde Duque;MACHO. Crónicas de identidad perdida;115
2020;Febrero;Conde Duque;Muestras Mentorías Grumelot;101
2020;Febrero;Conde Duque;Poesía o Barbarie;56
2020;Febrero;Conde Duque;SCD - Lafawndah;76
2020;Febrero;Conde Duque;SCD - Nova Materia + Asunción;76
2020;Febrero;Conde Duque;SCD - Za! +  Seward + Los Sara Fontán;55
2020;Marzo;Conde Duque;DU20 - Ignatius y Poliana Lima;0
2020;Marzo;Conde Duque;La chica que soñaba;112
2020;Marzo;Conde Duque;Poesía o Barbarie;56
2020;Marzo;Conde Duque;SCD - Charlotte dos Santos;0
2020;Marzo;Conde Duque;SCD - Craig Leon & Cassell Webb;57
2020;Marzo;Conde Duque;SCD - Moon Duo presentan The Lightship;0
2020;Abril;Conde Duque;Sin eventos;
2020;Mayo;Conde Duque;Sin eventos;
2020;Junio;Conde Duque;Sin eventos;
2020;Septiembre;Conde Duque;Cine - The woman who ran;29
2020;Septiembre;Conde Duque;Música - Instituto Stocos “^Piano & Dancer”;25
2020;Septiembre;Conde Duque;Música - OVERture;25
2020;Septiembre;Conde Duque;Música - Trío Zukan “ComuniK2”;25
2020;Septiembre;Conde Duque;Teatro - Psychodrama;50
2020;Octubre;Conde Duque;Cine - De nuevo otra vez;0
2020;Octubre;Conde Duque;Cine - Le sel des larmes;30
2020;Octubre;Conde Duque;Cine - Meseta;30
