Año;Mes;Organismo;Evento;Entradas
2021;enero;Conde Duque;Cine - El país de las maravillas - Le meraviglie;0
2021;enero;Conde Duque;Cine - Fukuoka;27
2021;enero;Conde Duque;Cine - Los jóvenes del barrio + Aquells joves;25
2021;enero;Conde Duque;Música - Amorante;19
2021;enero;Conde Duque;Música - Jansky;0
2021;enero;Conde Duque;Teatro - Hasier Larretxea “Caminos de retorno”;0
2021;enero;Fernán Gómez;CTyDH. ...and breathe normally;20
2021;enero;Fernán Gómez;CTyDH. Cadena de montaje;0
2021;enero;Fernán Gómez;Cine - Damsels in distress;60
2021;enero;Fernán Gómez;Cine - Lemebel;0
2021;enero;Fernán Gómez;Cine - Perfect blue;252
2021;enero;Naves Español en Matadero;El salto de Darwin;121
2021;enero;Naves Español en Matadero;Marat ~ Sade;347
2021;enero;Naves Español en Matadero;Siempreviva;0
2021;enero;Circo Price;Circo Price en Navidad. El retorno de Cometa;17
2021;enero;Teatro Español;El caballero incierto;78
2021;enero;Teatro Español;Los asquerosos;463
2021;enero;Teatro Español;Mariana Pineda;210
2021;febrero;Cineteca;FARGO;2
2021;febrero;Cineteca;LA RECONQUISTA;1
2021;febrero;Cineteca;LA REINA DE LAS NIEVES;1
2021;febrero;Conde Duque;Cine - 7 Vírgenes;14
2021;febrero;Conde Duque;Cine - El desencanto;14
2021;febrero;Conde Duque;Cine - Personal Shopper;14
2021;febrero;Conde Duque;Música - Mercedes Peón;14
2021;febrero;Conde Duque;Teatro - Hasier Larretxea “Caminos de retorno”;19
2021;febrero;Fernán Gómez;Música - Músicas Memorables;30
2021;febrero;Fernán Gómez;Música - Pongo;32
2021;febrero;Fernán Gómez;Teatro - Acciones sencillas;72
2021;febrero;Fernán Gómez;Teatro - Antonio y Cleopatra;360
2021;febrero;Naves Español en Matadero;Marat ~ Sade;401
2021;febrero;Naves Español en Matadero;Siempreviva;175
2021;febrero;Naves Español en Matadero;Tórtola;175
2021;febrero;Circo Price;FM21 - Conferencias mágicas;5
2021;febrero;Circo Price;FM21 - Gala Internacional de magia en escena;189
2021;febrero;Circo Price;FM21 - Magia de cerca;56
2021;febrero;Teatro Español;El caballero incierto;42
2021;febrero;Teatro Español;Mariana Pineda;272
2021;febrero;Teatro Español;Nápoles millonaria;180
2021;febrero;Teatro Español;Siveria;102
2021;marzo;Cineteca;CIMA EN CORTO: CORTOS DE GOYA (I);4
2021;marzo;Cineteca;CINE CITA;1
2021;marzo;Cineteca;DARDARA;1
2021;marzo;Cineteca;EL AGENTE TOPO;3
2021;marzo;Cineteca;EL DECAMERÓN;2
2021;marzo;Cineteca;EL EVANGELIO SEGÚN SAN MATEO;1
2021;marzo;Cineteca;EL PROYECTO ZAVATTINI: AMOR EN LA CIUDAD;3
2021;marzo;Cineteca;ENCUESTA SOBRE EL AMOR;4
2021;marzo;Cineteca;FEMENINO PLURAL;1
2021;marzo;Cineteca;LA MAMI;1
2021;marzo;Cineteca;LA ÚLTIMA PRIMAVERA;1
2021;marzo;Cineteca;LAS MIL Y UNA NOCHES;2
2021;marzo;Cineteca;LOS INOCENTES;9
2021;marzo;Cineteca;NEWS FROM HOME;4
2021;marzo;Cineteca;PASOLINI;2
2021;marzo;Cineteca;POUR VIVRE HEUREUX;2
2021;marzo;Cineteca;QUI JE SUIS;2
2021;marzo;Cineteca;SESIÓN 1: UNA REALIDAD VUELTA EXPERIMENTO;2
2021;marzo;Cineteca;THEY SAY NOTHING STAYS THE SAME;1
2021;marzo;Cineteca;TRAIDORES;4
2021;marzo;Cineteca;UN EFECTO ÓPTICO;1
2021;marzo;Cineteca;UNA REVUELTA SIN IMÁGENES / CAPERUCITA ROJA;2
2021;marzo;Cineteca;VISIÓN NOCTURNA;1
2021;marzo;Conde Duque;Cine - El país de las maravillas - Le meraviglie;26
2021;marzo;Conde Duque;Cine - El pico;21
2021;marzo;Conde Duque;Cine - The ballad of the genesis and lady Jaye;27
2021;marzo;Conde Duque;Teatro - Silencio;81
2021;marzo;Fernán Gómez;Teatro - Teatro Amazonas;678
2021;marzo;Fernán Gómez;El pájaro azul;95
2021;marzo;Fernán Gómez;Música y mal;49
2021;marzo;Naves Español en Matadero;Antígona;75
2021;marzo;Naves Español en Matadero;Curva España;144
2021;marzo;Naves Español en Matadero;El Zurdo - Anïmales Mixtøs;2
2021;marzo;Naves Español en Matadero;Prostitución;135
2021;marzo;Naves Español en Matadero;Raphäelle;50
2021;marzo;Naves Español en Matadero;Raquel Pérez - Anïmales Mixtøs;3
2021;marzo;Naves Español en Matadero;Tórtola;150
2021;marzo;Naves Español en Matadero;Verónica Ronda  - Anïmales Mixtøs;5
2021;marzo;Circo Price;Estat d’emergència;125
2021;marzo;Circo Price;FM21 - Conferencias mágicas;5
2021;marzo;Circo Price;FM21 - Gala Internacional de magia en escena;536
2021;marzo;Teatro Español;Ira;62
2021;marzo;Teatro Español;La señorita doña Margarita;157
2021;marzo;Teatro Español;Nápoles millonaria;836
2021;abril;Cineteca;AND YOUR BIRD CAN SING;3
2021;abril;Cineteca;BEANS;2
2021;abril;Cineteca;CHARULATA. LA ESPOSA SOLITARIA;3
2021;abril;Cineteca;CIMA EN CORTO: CORTOS DE GOYA (II);2
2021;abril;Cineteca;EL AÑO DEL DESCUBRIMIENTO;3
2021;abril;Cineteca;EL CINÉFILO EN EL BANQUILLO: PRESENTE Y FUTURO DE LA CINEFILIA [Conversación con Vicente Monroy];5
2021;abril;Cineteca;FLÂNERIES;1
2021;abril;Cineteca;IRMA VEP;13
2021;abril;Cineteca;LA FLOR (PRIMERA PARTE);1
2021;abril;Cineteca;LA ÚLTIMA PRIMAVERA;14
2021;abril;Cineteca;MARTIN ARNOLD: CINEFILIA FRACTURADA;3
2021;abril;Cineteca;MON CIRQUE À MOI;2
2021;abril;Cineteca;NACIÓN;1
2021;abril;Cineteca;NÚMERO DOS;10
2021;abril;Cineteca;PATXI / BIENVENIDO MR. HESTON;2
2021;abril;Cineteca;PÓLVORA EN EL CORAZÓN;3
2021;abril;Cineteca;RESTLESS RIVER;1
2021;abril;Cineteca;SIBERIA;14
2021;abril;Cineteca;THE DISASTER ARTIST;6
2021;abril;Cineteca;THE EMBARGO PROJECT;2
2021;abril;Cineteca;THE LAST MOVIE;3
2021;abril;Cineteca;TU TE SOUVIENDRAS DE MOI;2
2021;abril;Cineteca;WELCOME TO THE USA;1
2021;abril;Conde Duque;#SolidariDanza. InterDID 2021;27
2021;abril;Conde Duque;Cine - Coherence;28
2021;abril;Conde Duque;Cine - El Charro de Toluquilla;29
2021;abril;Conde Duque;Cine - Julia y El Zorro;24
2021;abril;Conde Duque;Cine - The first lap;24
2021;abril;Conde Duque;Manolo Kabezabolo;2
2021;abril;Conde Duque;Música - Book Jockey. El lago hierve. Las olas mugen;24
2021;abril;Conde Duque;Teatro - Arriba;46
2021;abril;Fernán Gómez;30 Certamen Coreográfico de Flamenco y danza española;100
2021;abril;Fernán Gómez;Cadena de Montaje;20
2021;abril;Fernán Gómez;FDV. Kukai Dantza;34
