Año;Mes;Organismo;Evento;Entradas
2024;Enero;Teatro Circo Price;CIRCO PRICE EN NAVIDAD;28
2024;Febrero;Teatro Circo Price;MAGIA DE CERCA;85
2024;Febrero;Teatro Circo Price;GALA INTERNACIONAL DE MAGIA EN ESCENA;516
2024;Marzo;Teatro Circo Price;À deux roues, la vie!;13
2024;Abril;Teatro Circo Price;NUYE;95
2024;Abril;Teatro Circo Price;DUEL REALITY;239
2024;Mayo;Teatro Circo Price;Cocktail Madpac II, creación efervescente;23
2024;Mayo;Teatro Circo Price;ORAISON;57
2024;Mayo;Teatro Circo Price;TRASBORDO;19
2024;Junio;Teatro Circo Price;Ubuntu!!! Todos somos uno;25
2024;Enero;Conde Duque;GISÈLE VIENNE «EXTRA LIFE»;87
2024;Enero;Conde Duque;ALBERTO CORTÉS «ONE NIGHT AT THE GOLDEN BAR»;77
2024;Enero;Conde Duque;«JERK»;14
2024;Enero;Conde Duque;LA VERONAL «FIRMAMENTO»;36
2024;Enero;Conde Duque;PAU VEGAS;18
2024;Febrero;Conde Duque;RENALDO & CLARA «LA BOCA AIGUA»;48
2024;Febrero;Conde Duque;TRAJAL HARRELL &  SCHAUSPIELHAUS ZÜRICH  DANCE ENSEMBLE «KÖLN CONCERT»;30
2024;Marzo;Conde Duque;L’ALAKRAN «INACTUALES»;38
2024;Marzo;Conde Duque;ZA! + PERRATE;11
2024;Marzo;Conde Duque;CHIRIE VEGAS «GAMBERRO»;19
2024;Marzo;Conde Duque;SIMONA «ESFERA DE AMOR»;37
2024;Marzo;Conde Duque;POLIANA LIMA «THE COMMON GROUND»;49
2024;Abril;Conde Duque;«GÜEROS»;8
2024;Abril;Conde Duque;VIA KATLEHONG «VIA INJABULO»;56
2024;Abril;Conde Duque;«TRES VELLAS (EN LA ROMERÍA)»;6
2024;Abril;Conde Duque;«HACE MUCHO QUE NO DUERMO»;4
2024;Abril;Conde Duque;NUBIYAN TWIST;21
2024;Abril;Conde Duque;IKER KARRERA «THE ROOM WHERE IT HAPPENS»;29
2024;Abril;Conde Duque;Santiago Latorre & Colin Self «Architecture of Friendship»;10
2024;Mayo;Conde Duque;LOS BÁRBAROS «OBRA IMPOSIBLE»;66
2024;Mayo;Conde Duque;RAÜL REFREE / MARIA MAZZOTTA «San Paolo di Galatina »;33
2024;Mayo;Conde Duque;«WORLD OF TOMORROW (I, II & III)»;9
2024;Mayo;Conde Duque;AZKONATOLOZA «CUERPOS CELESTES»;26
2024;Mayo;Conde Duque;LAURA SAM  «EL POEMA FÍSICO»;4
2024;Mayo;Conde Duque;GARIKOITZ GAMARRA  & YLIA  «LOS RITMOS  DE MARK FISHER»;23
2024;Junio;Conde Duque;«IT’S SUCH A BEAUTIFUL DAY»;15
2024;Junio;Conde Duque;ISRAEL GALVÁN «LA CONSAGRACIÓN DE LA PRIMAVERA»;4
2024;Junio;Conde Duque;«SELECCIÓN DE CORTOMETRAJES DE DON HERTZFELDT» + «ME»;8
2024;Enero;Cineteca;El apartamento;7
2024;Enero;Cineteca;Ciudadano Kane;15
2024;Enero;Cineteca;Lost in Translation;19
2024;Enero;Cineteca;Atrapado en el tiempo;10
2024;Enero;Cineteca;Quizá mañana...;3
2024;Enero;Cineteca;El festín de Babette;8
2024;Enero;Cineteca;Conferencia de José Luis Villacañas + Centauros del desierto;22
2024;Enero;Cineteca;La carpa de circo;5
2024;Enero;Cineteca;Tren de sombras;7
2024;Enero;Cineteca;Solaris;61
2024;Enero;Cineteca;Cuentos de Tokio;33
2024;Enero;Cineteca;Las tierras del cielo;22
2024;Enero;Cineteca;Codón es un máquina;2
2024;Enero;Cineteca;Bushman;6
2024;Enero;Cineteca;Cine, registro vivo de nuestra memoria;7
2024;Enero;Cineteca;Jennie;27
2024;Enero;Cineteca;Sesión de cortometrajes de Luther Price;22
2024;Enero;Cineteca;Con la muerte en los talones;41
2024;Enero;Cineteca;Lawrence de Arabia;30
2024;Enero;Cineteca;Samsara;31
2024;Enero;Cineteca;Las ruinas de un imperio;6
2024;Enero;Cineteca;Conferencia de Juan Arnau + El tercer hombre;34
2024;Enero;Cineteca;Alteritats;7
2024;Enero;Cineteca;Contracampos + Hilos;1
2024;Enero;Cineteca;Tres colores: Azul;61
2024;Enero;Cineteca;Capítulo IX: Órganos sin cuerpo (carne vibrante);11
2024;Enero;Cineteca;La cinta blanca;47
2024;Enero;Cineteca;Lelé Guillén: Despierta;2
2024;Enero;Cineteca;Nostalgia de la luz;15
2024;Enero;Cineteca;Conferencia de Ana Carrasco Conde + El séptimo sello;35
2024;Enero;Cineteca;El método de los claros;16
2024;Enero;Cineteca;A Train Arrives at the Station / Eadweard Muybridge, Zoopraxographer;4
2024;Enero;Cineteca;Prisioneros de la tierra;6
2024;Enero;Cineteca;The Thoughts That Once We Had;24
2024;Febrero;Cineteca;El dulce sabor del éxito;24
2024;Febrero;Cineteca;First Cow;24
2024;Febrero;Cineteca;La Singla;16
2024;Febrero;Cineteca;Mudos Testigos;12
2024;Febrero;Cineteca;Household Saints;38
2024;Febrero;Cineteca;Anticristo;54
2024;Febrero;Cineteca;Las Amigas (Girlfriends);41
2024;Febrero;Cineteca;Arte sonoro: una crónica sentimental;7
2024;Febrero;Cineteca;Alemania;25
2024;Febrero;Cineteca;Crash;49
2024;Febrero;Cineteca;Tadafuq/Fluir: Artistas palestinos en movimiento;11
2024;Febrero;Cineteca;Nuestra amiga la luna + Alegrías riojanas;3
2024;Febrero;Cineteca;Gilda;37
2024;Febrero;Cineteca;Palabras suaves (Smooth Talk);0
2024;Febrero;Cineteca;Lorenzo Sandoval: Ecología acústica;2
2024;Febrero;Cineteca;Al rojo vivo;10
2024;Febrero;Cineteca;A Fish in the Bathtub;21
2024;Febrero;Cineteca;Viaje inmóvil;4
2024;Febrero;Cineteca;Performance;19
2024;Febrero;Cineteca;Película del hierro y la nieve;9
2024;Febrero;Cineteca;Ara la llum cau vertical;3
2024;Febrero;Cineteca;Sexo, drogas, rock 'n' roll, y política. Instituto Santamarca, 1975–1985;27
2024;Febrero;Cineteca;Molina's Ferozz;1
2024;Febrero;Cineteca;Los hijos + Mamántula;34
2024;Febrero;Cineteca;Annette;24
2024;Febrero;Cineteca;The Water Flows to the Sea;16
2024;Febrero;Cineteca;El cine iluminado de Sandra Davis;21
2024;Febrero;Cineteca;Blue;15
2024;Febrero;Cineteca;Procesos;3
2024;Febrero;Cineteca;Intolerance;5
2024;Febrero;Cineteca;El fantasma del paraíso;47
2024;Febrero;Cineteca;In the Wake;8
2024;Febrero;Cineteca;Negu Hurbilak;23
2024;Febrero;Cineteca;Cry Baby (El Lágrima);47
2024;Febrero;Cineteca;Capítulo X: Máquinas sónicas (el ruido y sus dispositivos);4
2024;Febrero;Cineteca;Descartes + Rocío;19
2024;Febrero;Cineteca;Actrices;11
2024;Febrero;Cineteca;Resignificando;2
2024;Febrero;Cineteca;Los asesinatos de mamá;23
2024;Marzo;Cineteca;Las hermanas Munekata;21
2024;Marzo;Cineteca;Ese soplo;4
2024;Marzo;Cineteca;One Cut of the Dead;12
2024;Marzo;Cineteca;Guillermo Pérez Villalta: Del agua y el mediterráneo;1
2024;Marzo;Cineteca;Agujetas cantaor;3
2024;Marzo;Cineteca;Maria Lassnig: Sesión de cortometrajes;26
2024;Marzo;Cineteca;En nombre del padre;2
2024;Marzo;Cineteca;Deborah Stratman: Sesión de cortometrajes;18
2024;Marzo;Cineteca;Blanco. Crear como acto de ceguera;5
2024;Marzo;Cineteca;Life After Bob: The Chalice Study;2
2024;Marzo;Cineteca;Polígono Sur (El arte de las tres mil);7
2024;Marzo;Cineteca;Carolee Schneemann: Sesión de cortometrajes;25
2024;Marzo;Cineteca;Negro. La obra monocroma;6
2024;Marzo;Cineteca;Zarata;3
2024;Marzo;Cineteca;Sombras en el paraíso;42
2024;Marzo;Cineteca;Hamlet va de negocios;14
2024;Marzo;Cineteca;Invisible Adversaries;5
2024;Marzo;Cineteca;Palabras suaves (Smooth Talk);42
2024;Marzo;Cineteca;The Practice of Love;6
2024;Marzo;Cineteca;Ensayos de memoria: Ana García-Pineda y Paloma Polo;9
2024;Marzo;Cineteca;Ariel;32
2024;Marzo;Cineteca;Leningrad Cowboys Go America;24
2024;Marzo;Cineteca;Ru;9
2024;Marzo;Cineteca;Allons enfants;7
2024;Marzo;Cineteca;Le mandat;9
2024;Marzo;Cineteca;Libertate;4
2024;Marzo;Cineteca;Dancing on the Edge of a Volcano;4
2024;Marzo;Cineteca;Sink or Swim + Rules of the Road;22
2024;Marzo;Cineteca;Contraté un asesino a sueldo;40
2024;Marzo;Cineteca;Narcisa Hirsch: Sesión de cortometrajes;20
2024;Marzo;Cineteca;Capitulo XI: Recuerdo de Luigi Nono (España en el corazón);5
2024;Marzo;Cineteca;The Ties That Bind + I Cannot Tell You How I Feel;12
2024;Marzo;Cineteca;The Odds of Recovery;12
2024;Marzo;Cineteca;Cine documental II: Cuerpos;5
2024;Marzo;Cineteca;La chica de la fábrica de cerillas;43
2024;Marzo;Cineteca;Clorindo Testa;17
2024;Marzo;Cineteca;La restauración;15
2024;Marzo;Cineteca;La vida de bohemia;28
2024;Marzo;Cineteca;Arnasa betean. A pulmón;2
2024;Marzo;Cineteca;Agárrate el pañuelo, Tatiana;23
2024;Abril;Cineteca;El gabinete del Dr. Caligari;27
2024;Abril;Cineteca;Stoker;15
2024;Abril;Cineteca;Asesinos natos;36
2024;Abril;Cineteca;Septiembre;3
2024;Abril;Cineteca;Dobla la esquina, el volcán;11
2024;Abril;Cineteca;Rebeladas;2
2024;Abril;Cineteca;La función;17
2024;Abril;Cineteca;Sed de mal;23
2024;Abril;Cineteca;Cartografía provisional – entrevista a mi madre;8
2024;Abril;Cineteca;Quiero ir a casa;7
2024;Abril;Cineteca;Los puños salvajes de Popeye;5
2024;Abril;Cineteca;La maldición de la rejoneadora;13
2024;Abril;Cineteca;Jodorowsky's Dune;24
2024;Abril;Cineteca;La autografía fulminante de Teo Hernández;19
2024;Abril;Cineteca;El quinto elemento;30
2024;Abril;Cineteca;Los productores;4
2024;Abril;Cineteca;The Warriors: Los amos de la noche;14
2024;Abril;Cineteca;Hate Songs;1
2024;Abril;Cineteca;Los 1001 descorches;11
2024;Abril;Cineteca;Hijos de los hombres;21
2024;Abril;Cineteca;Sueños y pan;60
2024;Abril;Cineteca;Las zapatillas rojas;39
2024;Abril;Cineteca;El Gran Hotel Budapest;22
2024;Abril;Cineteca;Capitulo XII: Recuerdo de Luigi Nono II (Hay que caminar soñando);1
2024;Abril;Cineteca;Five Dances;4
2024;Abril;Cineteca;#SeAcabó;13
2024;Abril;Cineteca;Fuego fatuo;16
2024;Abril;Cineteca;Pina;9
2024;Abril;Cineteca;El laberinto: La guerra secreta de España;3
2024;Abril;Cineteca;Dancismo;4
2024;Abril;Cineteca;Nuestro último baile;15
2024;Mayo;Cineteca;Trilogía de La Haya;3
2024;Mayo;Cineteca;Películas de combate;18
2024;Mayo;Cineteca;Historias del poder;1
2024;Mayo;Cineteca;Lugares soñados;12
2024;Mayo;Cineteca;La guerra al periodismo;2
2024;Mayo;Cineteca;Nadadoras;1
2024;Mayo;Cineteca;Nuestra película;6
2024;Mayo;Cineteca;Destierro;2
2024;Mayo;Cineteca;La caravana;1
2024;Mayo;Cineteca;O auto das ánimas;4
2024;Mayo;Cineteca;Puerperio;1
2024;Mayo;Cineteca;Un gif larguisimo;4
2024;Mayo;Cineteca;Último recurso;2
2024;Mayo;Cineteca;Fail Better;4
2024;Mayo;Cineteca;Le 17e parallèle: La guerre du peuple;3
2024;Mayo;Cineteca;Otoño en la Valcueva;1
2024;Mayo;Cineteca;Geografías de la soledad;3
2024;Mayo;Cineteca;Un sol radiant;20
2024;Mayo;Cineteca;Negro púrpura;6
2024;Mayo;Cineteca;L'été;19
2024;Mayo;Cineteca;L'hiver;13
2024;Mayo;Cineteca;Hogar, Dulce Hogar;6
2024;Mayo;Cineteca;De cielo y arena;2
2024;Mayo;Cineteca;Le printemps;18
2024;Mayo;Cineteca;Las edades sensibles a la luz;1
2024;Mayo;Cineteca;Zinzindurrunkarratz;13
2024;Mayo;Cineteca;Octubre en Madrid;17
2024;Mayo;Cineteca;Inauguración. 50 años de 'Octubre à Madrid' (Diario filmado);7
2024;Mayo;Cineteca;Contractions + La terminal;6
2024;Mayo;Cineteca;Programa 1: ¿Qué es el cine?;6
2024;Mayo;Cineteca;La historia se escribe de noche + Mitahat le Shemesh Khula;5
2024;Mayo;Cineteca;Dulcinea;7
2024;Mayo;Cineteca;Sampling Echoes. Programa 1;8
2024;Mayo;Cineteca;Natsu no uta;12
2024;Mayo;Cineteca;Programa 2: Música de cine;4
2024;Mayo;Cineteca;El canto de los años nuevos + Los restos del pasar;28
2024;Mayo;Cineteca;The Roller, the Life, the Fight;5
2024;Mayo;Cineteca;Sampling Echoes. Programa 2;6
2024;Mayo;Cineteca;Amoramar + M-Hole;7
2024;Mayo;Cineteca;Programa 3: Clásicos austriacos;6
2024;Mayo;Cineteca;Mitología de barrio;4
2024;Mayo;Cineteca;Ozr el Wezzah + Broken View;9
2024;Junio;Cineteca;Buenos Aires al Pacífico;3
2024;Junio;Cineteca;Arturo a los 30;24
2024;Junio;Cineteca;Fragmentos desde el exilio + Luto + Homenaje a la obra de Phillip Henry Gosse;1
2024;Junio;Cineteca;Juana Banana;15
2024;Junio;Cineteca;Las cosas indefinidas + Buscar trabajo;6
2024;Junio;Cineteca;Soc Filla De Ma Mare;4
2024;Junio;Cineteca;El enterrador y sus colegas;11
2024;Junio;Cineteca;Un hombre sin miedo;1
2024;Junio;Cineteca;Where Elephants Go;3
2024;Junio;Cineteca;El futuro del pasado;2
2024;Junio;Cineteca;Natatorium;5
2024;Junio;Cineteca;It’s Not My Film;4
2024;Junio;Cineteca;tornen lágrimas a incendios + la tierra los altares;8
2024;Junio;Cineteca;Historia de pastores;11
2024;Junio;Cineteca;On the Go;12
2024;Junio;Cineteca;Mamá, mamá, mamá;24
2024;Junio;Cineteca;Ryūichi Sakamoto. Opus;18
2024;Junio;Cineteca;El Coso;13
2024;Junio;Cineteca;Capítulo XIV: Dioses varios (espiritualidades acústicas);2
2024;Junio;Cineteca;Para Lucio;5
2024;Junio;Cineteca;The Urgency of Death;18
2024;Junio;Cineteca;Generación Lagartija;3
2024;Junio;Cineteca;Break Nation;4
2024;Junio;Cineteca;El ansia;36
2024;Junio;Cineteca;Nuestros días más felices;4
2024;Junio;Cineteca;Sesión de cortometrajes queer;9
2024;Junio;Cineteca;Luces azules;1
2024;Junio;Cineteca;Reír, cantar, tal vez llorar;20
2024;Junio;Cineteca;Corridas de alegría;1
2024;Junio;Cineteca;Baise-moi (Fóllame);10
2024;Junio;Cineteca;On the Go;12
2024;Enero;Teatro Español;La isla del aire;107
2024;Enero;Teatro Español;El silencio en Bodas de sangre;29
2024;Enero;Teatro Español;Carmen, nada de nadie;47
2024;Febrero;Teatro Español;Es peligroso asomarse al exterior;761
2024;Marzo;Teatro Español;Run Baby Run;273
2024;Marzo;Teatro Español;Manual para armar un sueño;178
2024;Marzo;Teatro Español;La lucha por la vida;389
2024;Abril;Teatro Español;Camino largo de vuelta a casa;322
2024;Abril;Teatro Español;Primer combate cuartos de final. VIII Torneo de Dramaturgia;3
2024;Abril;Teatro Español;Segundo combate de cuartos de final. VIII Torneo de Dramaturgia;23
2024;Abril;Teatro Español;Tercer combate cuartos de final. VIII Torneo de dramaturgia;19
2024;Abril;Teatro Español;Alter ego;68
2024;Abril;Teatro Español;Cuarto combate cuartos de final. VIII Torneo de dramaturgia;24
2024;Mayo;Teatro Español;Camargo;15
2024;Mayo;Teatro Español;Primera semifinal. VIII Torneo de dramaturgia;24
2024;Mayo;Teatro Español;Los chicos de Baker-Miller;64
2024;Mayo;Teatro Español;Segunda semifinal. VIII Torneo de dramaturgia;16
2024;Mayo;Teatro Español;Rei Édipo;37
2024;Mayo;Teatro Español;Dream;82
2024;Mayo;Teatro Español;Te estábamos esperando;60
2024;Mayo;Teatro Español;El ardor;62
2024;Junio;Teatro Español;El fin;474
2024;Junio;Teatro Español;Lucha y metamorfosis de una mujer;165
2024;Enero;Teatro Fernán Gómez. Centro Cultural de la Villa;Ron Lalá 4x4;136
2024;Enero;Teatro Fernán Gómez. Centro Cultural de la Villa;PAELLA;109
2024;Enero;Teatro Fernán Gómez. Centro Cultural de la Villa;TÍO VANIA;287
2024;Febrero;Teatro Fernán Gómez. Centro Cultural de la Villa;LA REGENTA;432
2024;Febrero;Teatro Fernán Gómez. Centro Cultural de la Villa;YERMA;360
2024;Marzo;Teatro Fernán Gómez. Centro Cultural de la Villa;MI ABUELA NO SE LLAMA CARMEN;213
2024;Marzo;Teatro Fernán Gómez. Centro Cultural de la Villa;TODAS LAS HIJAS;387
2024;Abril;Teatro Fernán Gómez. Centro Cultural de la Villa;PARAÍSO;78
2024;Abril;Teatro Fernán Gómez. Centro Cultural de la Villa;UN DELICADO EQUILIBRIO;352
2024;Abril;Teatro Fernán Gómez. Centro Cultural de la Villa;Encendidas (Homenaje a Paca Aguirre);15
2024;Abril;Teatro Fernán Gómez. Centro Cultural de la Villa;Protocolo del Quebranto;70
